ID,Domain,Category,Risk factor — full description (L3),Poster label,Source(s),X-ref,Status,Superseded by
AIRM-028,2. Strategy & Value Realization,Value measurement / ROI,Inability to attribute value actually delivered by AI investments,Inability to attribute value actually delivered by AI investments,Original,,active,
AIRM-029,2. Strategy & Value Realization,Value measurement / ROI,"Hidden total cost of ownership (data, talent, integration) eroding returns","Hidden total cost of ownership (data, talent, integration) eroding returns",Databricks AIGF; CRI MP-3.2.2; Original,→11,active,
AIRM-030,3. Data & Privacy,Sourcing & provenance,Unknown or undocumented provenance of training / grounding data,Unknown or undocumented provenance of training / grounding data,NIST GenAI #10; DASF 1.6,,active,
AIRM-031,3. Data & Privacy,Sourcing & provenance,Reliance on data scraped without lawful basis or clear rights,Reliance on data scraped without lawful basis or clear rights,EU Art 10 (amended 2026); NIST Map,,active,
AIRM-032,3. Data & Privacy,Sourcing & provenance,Inadequate data lineage to trace data through the AI pipeline,Inadequate data lineage to trace data through the AI pipeline,DASF 1.6,,active,
AIRM-033,3. Data & Privacy,Quality & labeling,Poor data quality undermining model reliability,Poor data quality undermining model reliability,DASF 1.3,,active,
AIRM-034,3. Data & Privacy,Quality & labeling,Inadequate or biased labeling introducing systematic error,Inadequate or biased labeling introducing systematic error,Original,,active,
AIRM-035,3. Data & Privacy,Quality & labeling,"Stale data, including grounding and retrieval sources that drift out of date behind a confident-sounding model","Stale data, including grounding and retrieval sources that drift out of date behind a confident-sounding model",DASF 1.9,,active,
AIRM-036,3. Data & Privacy,Privacy & consent,Personal data used for training without consent or purpose limitation,Personal data used for training without consent or purpose limitation,EU Art 10 (amended 2026); NIST GenAI #4,,active,
AIRM-037,3. Data & Privacy,Privacy & consent,Inability to honor data-subject rights once data is in a model,Inability to honor data-subject rights once data is in a model,GDPR; DASF 1.8; Original,,active,
AIRM-038,3. Data & Privacy,Privacy & consent,Re-identification of individuals from aggregated or model-derived data,Re-identification of individuals from aggregated or model-derived data,MIT 2.1,,active,
AIRM-039,3. Data & Privacy,Privacy & consent,Inadvertent disclosure of confidential / personal data in model output (no output guardrails),Inadvertent disclosure of confidential / personal data in model output (no output guardrails),OWASP LLM02; DASF 10.6,,active,
AIRM-040,3. Data & Privacy,Privacy & consent,"Sensitive or regulated data used in AI without classification, so handling and access controls are not applied","Unclassified sensitive data in AI, so handling controls never apply",Databricks AIGF; ISO A.7,,active,
AIRM-041,3. Data & Privacy,Privacy & consent,"Users pasting confidential or client data into a sanctioned AI tool, moving data outside its control boundary despite upstream access controls working","Confidential data pasted into an approved AI tool, leaving despite working controls",OWASP AISVS AC.3; COSO GenAI 2026; Original,,active,
AIRM-042,3. Data & Privacy,Training-data rights & IP,Use of copyrighted or licensed material in training without rights,Use of copyrighted or licensed material in training without rights,NIST GenAI #10; EU Art 53(1)(c) (amended 2026),→8,active,
AIRM-043,3. Data & Privacy,Training-data rights & IP,Contamination of datasets with third-party IP or trade secrets,Contamination of datasets with third-party IP or trade secrets,Original,,active,
AIRM-044,3. Data & Privacy,Training-data rights & IP,Inability to prove the organization held the rights to the training data it used,Inability to prove you held rights to the training data used,OWASP AISVS 1.1.2; DASF 1.8; Original,,active,
AIRM-045,3. Data & Privacy,Retention & disposal,"Failure to preserve prompts, outputs, and agent traces subject to litigation hold or e-discovery","Failure to preserve prompts, outputs, and agent traces subject to litigation hold or e-discovery",Cloud Risk Map analog; Original,→8,active,
AIRM-046,3. Data & Privacy,Retention & disposal,"Inadequate retention / disposal, where deletion from source systems does not remove data already absorbed into models, embeddings, or caches",Deletion at source does not remove data absorbed into models,DASF 1.8; ISO A.7; Original,,active,
AIRM-047,3. Data & Privacy,Retention & disposal,"Persistence of sensitive data in embeddings, caches, or model weights","Persistence of sensitive data in embeddings, caches, or model weights",OWASP LLM08; DASF 1.8; Original,,active,
AIRM-048,3. Data & Privacy,Retention & disposal,Failure to remove data across distributed / replicated AI stores,Failure to remove data across distributed / replicated AI stores,Original,,active,
AIRM-049,4. Model Development & Performance,Design & training,Inappropriate model/algorithm choice for the problem and risk context,Inappropriate model/algorithm choice for the problem and risk context,Original,,active,
AIRM-050,4. Model Development & Performance,Design & training,Poorly documented or untracked model development,Poorly documented or untracked model development,DASF 5.1,,active,
AIRM-051,4. Model Development & Performance,Design & training,Insecure or unmanaged hyperparameters and training configuration,Insecure or unmanaged hyperparameters and training configuration,DASF 5.3,,active,
AIRM-052,4. Model Development & Performance,Accuracy & validation,Fluent but factually incorrect output (hallucination) accepted as reliable,Fluent but factually incorrect output (hallucination) accepted as reliable,NIST GenAI #2; DASF 9.8,→6,active,
AIRM-053,4. Model Development & Performance,Accuracy & validation,Validation/evaluation data not representative of real-world use,Validation/evaluation data not representative of real-world use,DASF 6.2,,active,
AIRM-054,4. Model Development & Performance,Accuracy & validation,Skipped or insufficient pre-deployment red-teaming / safety evaluation,Skipped or insufficient pre-deployment red-teaming / safety evaluation,EU Art 9; NIST Measure,,active,
AIRM-055,4. Model Development & Performance,Accuracy & validation,Absence of independent model validation / effective challenge,Absence of independent model validation / effective challenge,SR 11-7; CRI MS-2.5.1; Original,,active,
AIRM-056,4. Model Development & Performance,Robustness & drift,Model drift degrading performance as data / conditions change,Model drift degrading performance as data / conditions change,DASF 5.2,→7,active,
AIRM-057,4. Model Development & Performance,Robustness & drift,Lack of robustness to edge cases and distribution shift,Lack of robustness to edge cases and distribution shift,NIST Measure; ATLAS,,active,
AIRM-058,4. Model Development & Performance,Robustness & drift,Small changes to the input produce very different output,Small changes to the input produce very different output,ATLAS; Original,,active,
AIRM-059,4. Model Development & Performance,Explainability,Black-box models used in high-stakes decisions without interpretability,Black-box models used in high-stakes decisions without interpretability,NIST Measure; EU Art 13; DASF 6.3,,active,
AIRM-060,4. Model Development & Performance,Explainability,Inability to produce adverse-action / decision explanations,Inability to produce adverse-action / decision explanations,EU Art 86; Colorado SB 26-189; CRI MS-2.9.2; DASF 6.3; Original,,active,
AIRM-061,4. Model Development & Performance,Explainability,Over-reliance on post-hoc explanations that misrepresent the model,Over-reliance on post-hoc explanations that misrepresent the model,Original,,active,
AIRM-062,4. Model Development & Performance,Reproducibility & documentation,Non-reproducible training pipelines undermining validation and audit,Non-reproducible training pipelines undermining validation and audit,DASF 5.1; Original,,active,
AIRM-063,4. Model Development & Performance,Reproducibility & documentation,Inadequate model documentation / model cards,Inadequate model documentation / model cards,EU Art 11 (amended 2026); NIST Map,,active,
AIRM-064,4. Model Development & Performance,Reproducibility & documentation,"Loss of traceability between model versions, data, and results","Loss of traceability between model versions, data, and results",DASF 4.1,,active,
AIRM-065,5. Security & Adversarial Threats,Data & pipeline attacks,Training-data poisoning that degrades or backdoors model behavior,Training-data poisoning that degrades or backdoors model behavior,DASF 3.1; OWASP LLM04; ATLAS AML.T0020,,active,
AIRM-066,5. Security & Adversarial Threats,Data & pipeline attacks,Tampering with RAG / knowledge-base sources consumed at inference,Tampering with RAG / knowledge-base sources consumed at inference,OWASP LLM08; DASF 9.9,,active,
AIRM-067,5. Security & Adversarial Threats,Data & pipeline attacks,Label-flipping or adversarial dataset partitioning to skew outputs,Label-flipping or adversarial dataset partitioning,DASF 3.3 / 2.4,,active,
AIRM-068,5. Security & Adversarial Threats,Model attacks,Model extraction / theft via inference-API querying,Model extraction / theft via inference-API querying,DASF 8.2; ATLAS AML.T0024.002,,active,
AIRM-069,5. Security & Adversarial Threats,Model attacks,Membership-inference or model-inversion exposing training data,Membership-inference or model-inversion exposing training data,DASF 9.2 / 9.5; NIST GenAI #4,,active,
AIRM-070,5. Security & Adversarial Threats,Model attacks,Backdoored / trojaned pre-trained model from a public hub,Backdoored / trojaned pre-trained model from a public hub,DASF 7.1,,active,
AIRM-071,5. Security & Adversarial Threats,Inference-time (input) attacks,Direct prompt injection altering behavior or bypassing guardrails,Direct prompt injection altering behavior or bypassing guardrails,OWASP LLM01; DASF 9.1,,active,
AIRM-072,5. Security & Adversarial Threats,Inference-time (input) attacks,Indirect / cross-domain prompt injection via retrieved content,Indirect / cross-domain prompt injection via retrieved content,OWASP LLM01; DASF 9.1 / 9.9,,active,
AIRM-073,5. Security & Adversarial Threats,Inference-time (input) attacks,Jailbreaks defeating safety controls and restrictions,Jailbreaks defeating safety controls and restrictions,OWASP LLM01; DASF 9.12,→6,active,
AIRM-074,5. Security & Adversarial Threats,Inference-time (input) attacks,System-prompt leakage exposing operational instructions,System-prompt leakage exposing operational instructions,OWASP LLM07,,active,
AIRM-075,5. Security & Adversarial Threats,Output & integration security,Unsanitized output reaching downstream interpreters (code exec / XSS / SQLi),Unsanitized output reaching downstream interpreters,OWASP LLM05,,active,
AIRM-076,5. Security & Adversarial Threats,Output & integration security,Interception or manipulation of the inference output stream,Interception or manipulation of the inference output stream,DASF 10.2,,active,
AIRM-077,5. Security & Adversarial Threats,Output & integration security,Over-trusted output triggering unsafe automated actions,Over-trusted output triggering unsafe automated actions,OWASP LLM05 / LLM06,,active,
AIRM-078,5. Security & Adversarial Threats,Supply-chain & artifact integrity,Compromised or malicious model / component from the AI supply chain,Compromised or malicious model from the AI supply chain,OWASP LLM03; NIST GenAI #12,→9,active,
AIRM-079,5. Security & Adversarial Threats,Supply-chain & artifact integrity,Vulnerable or unmaintained ML dependencies and libraries,Vulnerable or unmaintained ML dependencies and libraries,DASF 5.4; OWASP LLM03,,active,
AIRM-080,5. Security & Adversarial Threats,Supply-chain & artifact integrity,Tampering with model artifacts in registries or during deployment,Tampering with model artifacts in registries or during deployment,DASF 7.3; ATLAS AML.T0010.004; Original,,active,
AIRM-081,5. Security & Adversarial Threats,Supply-chain & artifact integrity,"Model-invented package, image, or endpoint names that resolve to adversary-registered artifacts, because the same hallucination recurs across users and model families",Model-invented dependencies resolving to adversary-registered packages,OWASP AISVS AC.13,→4,active,
AIRM-082,5. Security & Adversarial Threats,AI access & identity,Inadequate access controls on serving endpoints and inference APIs,Inadequate access controls on serving endpoints and inference APIs,DASF 9.11,→12,active,
AIRM-083,5. Security & Adversarial Threats,AI access & identity,Over-privileged service accounts and keys for AI platform components (distinct from an agent's tool scope),Over-privileged service accounts and keys for AI components,DASF 1.1; Original,,active,
AIRM-084,5. Security & Adversarial Threats,AI access & identity,"Insecure storage / exposure of credentials and tokens, as AI tool, harness, and agent-framework sprawl outpaces credential governance",Credential sprawl as AI tools and agent frameworks outpace governance,DASF 13.19 / 13.27,,active,
AIRM-085,5. Security & Adversarial Threats,AI access & identity,"Retrieval and RAG pipelines serving content beyond the requesting user’s own entitlements, because authorization is applied when the index is built rather than when it is queried",Retrieval serving content beyond the user’s own entitlements,OWASP AISVS 5.2.2,→3,active,
AIRM-086,"6. Safety, Ethics & Responsible AI",Bias & fairness,Discriminatory or biased outputs causing disparate impact,Discriminatory or biased outputs causing disparate impact,NIST GenAI #6; Weidinger I; Shelby,,active,
AIRM-087,"6. Safety, Ethics & Responsible AI",Bias & fairness,"Inequitable performance or accessibility across languages, demographics, and disabilities, marginalizing underrepresented groups","Inequitable performance across languages, demographics, and disabilities",MIT 1.3; Shelby QoS; Original,,active,
AIRM-088,"6. Safety, Ethics & Responsible AI",Bias & fairness,Bias amplification / homogenization from feedback and scale,Bias amplification / homogenization from feedback and scale,NIST GenAI #6,,active,
AIRM-089,"6. Safety, Ethics & Responsible AI",Bias & fairness,"Culturally insensitive or inappropriate output, or erosion of local norms, when AI is scaled across regions",Culturally inappropriate output as AI scales across regions,Databricks AIGF,,active,
AIRM-090,"6. Safety, Ethics & Responsible AI",Harmful / inaccurate output,"Generation of toxic, dangerous, or hateful content","Generation of toxic, dangerous, or hateful content",NIST GenAI #3; Weidinger I,,active,
AIRM-091,"6. Safety, Ethics & Responsible AI",Harmful / inaccurate output,"Harmful, misleading, or defamatory output driving decisions","Harmful, misleading, or defamatory output driving decisions",NIST GenAI #2; Original,→4,active,
AIRM-092,"6. Safety, Ethics & Responsible AI",Harmful / inaccurate output,Harm to minors / vulnerable users from inappropriate output,Harm to minors / vulnerable users from inappropriate output,NIST GenAI #11; Colorado HB 26-1263,,active,
AIRM-093,"6. Safety, Ethics & Responsible AI","Transparency, disclosure & provenance",Failure to disclose to users that they are interacting with AI,Failure to disclose to users that they are interacting with AI,EU Art 50 (amended 2026); Weidinger V,,active,
AIRM-094,"6. Safety, Ethics & Responsible AI","Transparency, disclosure & provenance",Undisclosed synthetic media / deepfakes lacking provenance,Undisclosed synthetic media / deepfakes lacking provenance,EU Art 50 (amended 2026); NIST GenAI #8,,active,
AIRM-095,"6. Safety, Ethics & Responsible AI","Transparency, disclosure & provenance",Inadequate transparency to affected parties about AI's role,Inadequate transparency to affected parties about AI's role,EU Art 13; ISO A.8,,active,
AIRM-096,"6. Safety, Ethics & Responsible AI",Misuse & dual-use,"Misuse of AI for disinformation, fraud, or social engineering","Misuse of AI for disinformation, fraud, or social engineering",NIST GenAI; Weidinger IV; IAISR,,active,
AIRM-097,"6. Safety, Ethics & Responsible AI",Misuse & dual-use,"Dangerous-capability uplift: the model gives meaningful help toward chemical, biological, radiological, nuclear, or cyber attack capability",Model gives meaningful help toward weapons or cyberattack capability,NIST GenAI #1; Weidinger IV; IAISR,,active,
AIRM-098,"6. Safety, Ethics & Responsible AI",Misuse & dual-use,"Engagement-optimized AI driving addiction, polarization, or harm","Engagement-optimized AI driving addiction, polarization, or harm",Shelby societal; Original,,active,
AIRM-099,"6. Safety, Ethics & Responsible AI",Human agency & over-reliance,User over-trust / automation bias in AI outputs,User over-trust / automation bias in AI outputs,NIST GenAI #7; Weidinger V,,active,
AIRM-100,"6. Safety, Ethics & Responsible AI",Human agency & over-reliance,Anthropomorphism and emotional dependence on conversational AI,Anthropomorphism and emotional dependence on conversational AI,Weidinger V; Colorado HB 26-1263,,active,
AIRM-101,"6. Safety, Ethics & Responsible AI",Human agency & over-reliance,Erosion of meaningful human control over decisions,Erosion of meaningful human control over decisions,EU Art 14; MIT 5.2,→12,active,
AIRM-102,"6. Safety, Ethics & Responsible AI",Human agency & over-reliance,"Human review, approval, and triage capacity cannot scale to the volume AI produces — code, alerts, content, decisions — so oversight gates degrade into rubber-stamping while still appearing effective","Review capacity cannot scale to AI output volume, degrading oversight to rubber-stamping",COSO GenAI 2026; OWASP AISVS AC.4; CRI MP-3.5.4,→7,active,
AIRM-103,7. Operations & Resilience,MLOps & deployment,Immature MLOps / fragile deployment pipelines,Immature MLOps / fragile deployment pipelines,DASF 11.1; Original,,active,
AIRM-104,7. Operations & Resilience,MLOps & deployment,Inconsistent or unsanctioned (shadow) model deployment,Inconsistent or unsanctioned (shadow) model deployment,DASF 8.3; Original,→1,active,
AIRM-105,7. Operations & Resilience,MLOps & deployment,"Inadequate environment and configuration management across model versions, dependency pinning, and accelerator configuration, undermining reproducibility",Environment and config management gaps undermining reproducibility,DASF 12.5,,active,
AIRM-106,7. Operations & Resilience,MLOps & deployment,"Training-serving skew: features or input data differ between training and production, degrading live performance",Training-serving skew degrading live performance,Databricks AIGF; Original,,active,
AIRM-107,7. Operations & Resilience,MLOps & deployment,"Containment of an AI test, evaluation, or development environment fails — unverified, misconfigured, defeated, or degraded over time — allowing the system to reach production or third-party systems",Test or sandbox containment fails and AI reaches real systems,OpenAI/Anthropic 2026 incidents,→12,active,
AIRM-108,7. Operations & Resilience,Monitoring & observability,"Absence of monitoring for performance, drift, and abuse in any environment — including evaluation, test, and sandbox environments assumed to be contained","Absence of monitoring for performance, drift, and abuse in any environment",DASF 10.1; NIST Manage; CSA HF post-mortem,,active,
AIRM-109,7. Operations & Resilience,Monitoring & observability,"Inadequate logging / audit of inputs, outputs, tool calls, agent decision paths, and the human authorization behind them","Inadequate logging of inputs, outputs, tool calls, agent decisions, and who authorized them",EU Art 12; DASF 10.1,→12,active,
AIRM-110,7. Operations & Resilience,Monitoring & observability,"Inability to detect anomalous or degraded behavior, where non-determinism makes 'anomalous' hard to define and baseline",Non-determinism making anomalous behavior hard to define or detect,DASF 10.1; Original,,active,
AIRM-111,7. Operations & Resilience,Monitoring & observability,Sanctioned agent activity indistinguishable from agentic attack in telemetry,Sanctioned agent activity indistinguishable from agentic attack in telemetry,CSA HF post-mortem,,active,
AIRM-112,7. Operations & Resilience,Availability & scalability,Inference latency or unavailability degrading dependent services,Inference latency or unavailability degrading dependent services,Databricks AIGF; CSA AICM; Original,→11,active,
AIRM-113,7. Operations & Resilience,Availability & scalability,Inability to scale inference to peak demand,Inability to scale inference to peak demand,Original,,active,
AIRM-114,7. Operations & Resilience,Availability & scalability,Unbounded resource consumption / denial-of-wallet from AI workloads,Unbounded resource consumption / denial-of-wallet from AI workloads,OWASP LLM10,,active,
AIRM-115,7. Operations & Resilience,Incident management,Immature AI incident response and escalation processes,Immature AI incident response and escalation processes,NIST Manage; CRI GV-4.3.2; DASF 12.3; Original,,active,
AIRM-116,7. Operations & Resilience,Incident management,Inability to investigate AI incidents due to non-determinism / poor logs,Inability to investigate AI incidents due to non-determinism / poor logs,DASF 12.3; CRI MS-2.4.4; Original,,active,
AIRM-117,7. Operations & Resilience,Incident management,Inadequate content-moderation / trust-&-safety operations at scale,Inadequate content-moderation / trust-&-safety operations at scale,Colorado HB 26-1263; Original,,active,
AIRM-118,7. Operations & Resilience,Incident management,"Safety guardrails on models relied on for defense refusing to assist incident response, blocking analysis of attack data",Defensive model refuses to analyze attack data mid-incident,CSA HF post-mortem,→9,active,
AIRM-119,7. Operations & Resilience,Change & lifecycle management,Silent vendor / model updates changing behavior without notice,Silent vendor / model updates changing behavior without notice,COSO GenAI 2026; OWASP AISVS 3.2.3; Original,→9,active,
AIRM-120,7. Operations & Resilience,Change & lifecycle management,"Inadequate versioning, rollback, and change control for models","Inadequate versioning, rollback, and change control for models",DASF 8.3; CRI MG-4.1.4; Original,,active,
AIRM-121,7. Operations & Resilience,Change & lifecycle management,Unmanaged model decommissioning / sunset leaving orphaned dependencies,Unmanaged model decommissioning / sunset leaving orphaned dependencies,CRI GV-1.7.1; CRI MG-2.4.2; Original,,active,
AIRM-122,7. Operations & Resilience,Change & lifecycle management,Uncontrolled continuous / online learning introducing drift or poisoning,Uncontrolled continuous / online learning introducing drift or poisoning,DASF 5.2; Original,,active,
AIRM-123,7. Operations & Resilience,Change & lifecycle management,"Guardrails, access scopes, and approval gates re-verified less often than the AI system's capability and integration surface changes",Controls re-verified less often than the AI system changes,2026 sandbox-escape incidents; Original,→1,active,
AIRM-124,7. Operations & Resilience,Change & lifecycle management,"Prompts, system prompts, and retrieval configuration changed outside change control, though they determine system behavior as directly as code",Prompts and retrieval config changed outside change control,COSO GenAI 2026 Principle 11; OWASP AISVS AC.11,,active,
AIRM-125,"8. Legal, Regulatory & Compliance",Regulatory compliance,Unknowingly deploying a prohibited or high-risk AI use case,Unknowingly deploying a prohibited or high-risk AI use case,EU Art 5 / Annex III,,active,
AIRM-126,"8. Legal, Regulatory & Compliance",Regulatory compliance,"Failure to meet high-risk obligations (risk mgmt, docs, oversight)","Failure to meet high-risk obligations (risk mgmt, docs, oversight)",EU Arts 9-15,,active,
AIRM-127,"8. Legal, Regulatory & Compliance",Regulatory compliance,"Inability to keep pace with fragmented, fast-changing AI regulation","Inability to keep pace with fragmented, fast-changing AI regulation",Colorado SB 26-189; CRI GV-1.1.1; Databricks AIGF; Original,,active,
AIRM-128,"8. Legal, Regulatory & Compliance",Regulatory compliance,User inability to contest or seek recourse on an AI-driven decision,User inability to contest or seek recourse on an AI-driven decision,EU Arts 85 / 86; Colorado SB 26-189,,active,
AIRM-129,"8. Legal, Regulatory & Compliance",Regulatory compliance,"Misclassifying the organization's regulatory role (deployer vs. provider), missing obligations triggered by fine-tuning or rebranding a model",Misclassified as deployer when fine-tuning makes you a provider,EU Arts 16 / 25,,active,
AIRM-130,"8. Legal, Regulatory & Compliance",IP & liability,Liability for harm caused by AI decisions or outputs,Liability for harm caused by AI decisions or outputs,Databricks AIGF; Original,,active,
AIRM-131,"8. Legal, Regulatory & Compliance",IP & liability,Infringement claims arising from AI-generated output,Infringement claims arising from AI-generated output,NIST GenAI #10; Original,,active,
AIRM-132,"8. Legal, Regulatory & Compliance",IP & liability,Uncertain ownership / copyrightability of AI-generated content,Uncertain ownership / copyrightability of AI-generated content,Databricks AIGF; Original,,active,
AIRM-133,"8. Legal, Regulatory & Compliance",Contractual & licensing,"Vendor contracts lacking AI-specific terms: training use of your data, output ownership, model-change notice, evaluation rights","Vendor contracts lacking AI terms: training use, output ownership, change notice",CRI GV-6.2.3; Databricks AIGF; Original,,active,
AIRM-134,"8. Legal, Regulatory & Compliance",Contractual & licensing,Violation of open-weight / model license terms,Violation of open-weight / model license terms,Databricks AIGF; Original,→9,active,
AIRM-135,"8. Legal, Regulatory & Compliance",Contractual & licensing,Failure to update contracts as AI use and regulation evolve,Failure to update contracts as AI use and regulation evolve,CRI GV-6.2.3; Databricks AIGF; Cloud Risk Map analog; Original,,active,
AIRM-136,"8. Legal, Regulatory & Compliance",Cross-border,"Cross-jurisdictional data-transfer violations, including inference requests routed across borders invisibly by the provider","Cross-jurisdictional data-transfer violations, including inference requests routed across borders invisibly by the provider",GDPR; Original,,active,
AIRM-137,"8. Legal, Regulatory & Compliance",Cross-border,Conflicting regional AI requirements the organization cannot reconcile for a single system (externally imposed),Conflicting regional AI requirements the organization cannot reconcile for a single system (externally imposed),Databricks AIGF; Original,,active,
AIRM-138,"8. Legal, Regulatory & Compliance",Cross-border,Inability to evidence and audit AI compliance across jurisdictions (internal evidence burden),Inability to evidence and audit AI compliance across jurisdictions (internal evidence burden),CRI GV-1.1.4; Databricks AIGF; Original,,active,
AIRM-139,9. Third-Party & Model Supply Chain,Foundation-model dependence,Concentration risk from dependence on a few model providers,Concentration risk from dependence on a few model providers,IAISR; CRI GV-6.1.8; Original,,active,
AIRM-140,9. Third-Party & Model Supply Chain,Foundation-model dependence,Systemic / correlated ‘model monoculture’ — shared-model failure,Systemic / correlated ‘model monoculture’ — shared-model failure,IAISR; Original,,active,
AIRM-141,9. Third-Party & Model Supply Chain,Foundation-model dependence,Model deprecation or behavior change forcing unplanned migration,Model deprecation or behavior change forcing unplanned migration,Original,→7,active,
